"text","date","show"
"I've long believed that my vanity cards should not just be used for light entertainment. Every once in awhile a card should be written that aspires to make life better for everyone who takes the time to read it. This is one of those cards. After years of struggle, I've finally figured out how to eat cookies in bed without getting crumbs all over the place. The trick is to break the cookies into small bite-sized pieces while still in the box or bag, then, and only then, pop the pieces into your mouth. Get it? There are no crumbs because the cookies are never bitten, they're only chewed. Of course, there is some downside risk. Whenever you bring an entire box or bag of cookies into bed, there is a strong likelihood that you will eat every cookie in the box or bag. This means that your bed, while crumb free, will be filled with regret. Not to worry. In a future vanity card I will explain how to handle regret. Like cookies, it involves breaking it into bite-sized pieces.",2015-12-10,"Mom"
"You think you're a noun.You're not.You're a verb.You're welcome.",2015-11-26,"Mom"
"For the comedian, comic actor or comedy writer, nothing inflates the ego like the sound of people laughing. Nothing crushes it like their silence. This gives the audience enormous power. It's why performers and writers use the word ""kill"" to describe material that causes an explosion of laughter. ""That joke killed"" is a way of saying that, for a brief moment, they were able to dominate and control people who otherwise might hurt their feelings. For a brief moment they are victors, not victims. It also explains why many critics, network executives and ""cool"" people remain stoic in the face of good comedy. Laughing out loud makes one appear vulnerable. Killable. These people are also defending fragile egos. Which raises the question, what happens to comedy when the human ego is removed? When laughter, or its absence, neither builds nor destroys this phantasm self?Sadly, I wouldn't know.""The only cure for vanity is laughter, and the only fault that is laughable is vanity.""Henri Bergson",2015-11-19,"Mom"
"Sometimes I feel like I'm standing on a dock watching Western culture drift away from me like a massive boat. As I imagine it, the people on the deck are not waving goodbye. They're looking away, toward the horizon. The future. And the boat is accelerating. I don't bring this up to generate sympathy. No one threw me overboard. Disembarking was a conscious choice. And so is returning. With a little effort I can take a skiff out to sea and scramble up that gangplank anytime I want. I just have to stop being afraid of Facebook. And Instagram. And Twitter. And LinkedIn. And Tumblr. And Pinterest. And Snapchat. And, well... I guess the Internet. Also, I might need to jettison my love for belabored maritime metaphors.",2015-11-12,"Mom"
"I grew up devouring science fiction books. I was like a little Pac-Man, gobbling up everything I could get my hands on: short stories, novels, and, of course, comic books. Looking back, I realize that sci-fi and, to some degree, fantasy novels, were my first attempt at escaping reality (later attempts would prove to be a bit more problematic). Regardless, I now see that immersing myself in this kind of literature informs my current view of the world. The path of history is, for me, forever seen through the eyes and imagination of Arthur C. Clarke, Isaac Asimov, Robert Heinlein, Ray Bradbury, Roger Zelazny, Frank Herbert, Larry Niven, Philip K. Dick, H.G. Wells, Aldous Huxley, and many, many more. Which is why I consider all efforts to control human behavior through force as ultimately doomed to fail. Sure, they might work for a while. That's where the cool story is - the resistance and overcoming of authoritarian rule. But at the end of the day, the macro, sci-fi view is always toward greater freedom, regardless of what form it takes. The real evil, the much more insidious method of control, is actually what we do to ourselves. The abuse of drugs and alcohol, plus relentless consumerism and over-exposure to mind-numbing entertainment, are the real chains on the human spirit. Of course this means that I, having produced close to a thousand half-hours of television, am part of the problem. Sorry. I never meant to be a Minor Overlord for the Terrestrial Shadow Masters.",2015-11-05,"Mom"
"I've been around sitcoms for almost thirty years. During that time I've heard a lot of laughter from studio audiences, writers, actors, directors, studio executives, cameramen and myself. But not all laughter is created equal. There are the lonely guffaws of nervous writers and directors anxious to fill the silence that trails behind some jokes like toilet paper on a shoe. And then there's the grimacing, head-bob throat chuckle of network executives. For years I took this strangled, tepid response personally. Now I know it for what it is - the sound of fear. Sometimes studio audiences will try and help a show with what we in the business call ""a mercy laugh."" There's no mistaking this one. It's the sound of two hundred people who just want to go home. And finally, there's the true, out loud, involuntary explosion of laughter. It's a beautiful, contagious sound. For comedy writers, it makes you feel like your life has value. That all your neurotic suffering is worthwhile. Actors have told me it makes them feel like they're surfing a wave of pure happiness... and that they can keep their kids in private school. Network executives tell me they're not sure how they feel until the results from the focus group comes in. Regardless, in a troubled world, real laughter, that spontaneous outburst of humanness, has to be taken as seriously as a wet fart in white pants.",2015-04-30,"Mom"
"THE ONE-HOUR OFFICE NAPFour o'clock in the afternoon. The couch waits like a hug from Grandma. The shades are drawn. Shoes off. Wristwatch off. Phone off. Maybe pants. Optional. Dependent on exhaustion level versus concern over wrinkling. Body sinks into cushions. Mister Head, meet Mister Pillow. Mister Pillow, meet Mister Head. One Mississippi. Two Mississippi. Three... oblivion. Effervescent dreams. Alka Seltzer brain bubbles. Fifty-five minutes later, consciousness. Reorientation. Where am I? Who am I? Check time. Five minutes before youthful assistant, who has to be wondering why she bothered to go to college, knocks on the door. Sleep more? No. Better to lie here and worry. Five minutes not enough. Then the firm rap on the door. ""Okay,"" I call out. Dress. Lights. Open door. Congealing dinner arrives in styrofoam clamshells. Delivered by smiling youthful production assistant who also can't quite believe he went to college for this nonsense. ""Thank you,"" I say to mask my guilt. Eat alone while mindlessly switching TV channel between CNN, MSNBC and FNC. Rested, recharged and thoroughly depressed. Ride golf cart to stage. Make sitcom.",2015-04-23,"Mom"
"To be read aloud at my funeral.Well... this is depressing. Which, I guess, beats the alternative. Certainly don't want my send off to be a ding-dong-the-witch-is- dead flash mob. Perhaps there's a middle ground. A little light sobbing, some clothes rending. Nothing over the top. To all the actors here, let's try and keep this day about me. Okay, now that we've settled on the appropriate level of somber, I'd like to go over a few things before LIFE GOES ON WITHOUT ME, THANK YOU VERY MUCH! First, I want it known that I am deeply grateful for how things turned out. In retrospect - and yes, everything is in retrospect now - even the awful stuff seems to have had a purpose. When I was a young man a pretty girl smiled at me, so I did exactly what any young man would do, I joined her new-age religion. Seven years later I awoke, as if from a dream, and carried on like nothing happened. Which made sense because for seven years nothing happened. Being too poor to go to a doctor when I had ulcerative colitis made me a big supporter of free health care, as well as appreciative of the life-affirming qualities in a good bowel movement. Two failed marriages and many failed relationships taught me the fine art of apologizing. A decade or so of professional failures proved that hardship builds character, just not a very good one. And then there's all the great things that happened. My children - despite years of fatherly neglect - turned out to be awesome. Shaking off a severe drop in revenue, the Jack Daniels company managed to limp along without me. I stumbled into an incredible career when I realized I had a better chance at becoming the next Sherwood Schwartz than the next Bruce Springsteen. So again, looking back, other than dying, I have no real complaints. Looking forward, well, if the lights in the chapel flicker... NOW!... it means I'm a non-corporeal spiritual entity with a delightful streak of mischievousness (more Spooky than Casper). If not, the likely scenario is I exist only in your memories, and, after the ceremony, as landfill in a Jewish cemetery. So, to sum up a lifetime: ""Here lies me. I did the best I could with what I had. I never stopped trying to be better. My flaws were plentiful. No need to list them here. We all know what they were -- don't we ladies? But I did love. And as I got older I think I learned how to love more. I hope that's what you remember about me.""""And that I was perfectly willing to end a heartfelt moment with a cheap dick joke.""",2015-04-16,"Mom"
"Hardly  a  day  goes  by  when  I  don't  think  about  quitting  this business.  Hanging it up.  Taking my proverbial bat and ball and going  home.   In  my  imagination,  the  day  after  I  quit  is  a wonderful,  relaxing,  joyful  experience.   I  reconnect  with  old friends, walk on the beach, read, listen to music, play guitar, play  golf,  eat  leisurely  meals  off  of  real  plates,  exercise, meditate, maybe go see a matinee, or take a stab at writing a few pages  of  a  self-indulgent,  joke-free  play  filled  with  people screaming  at  each  other,  and  then,  after  taking  the  dog  for  a walk, climb into bed and fall into a peaceful, stress-free sleep.  The day after that, bored out of my mind, I start drinking around the clock and quickly descend into a dark, frothing madness that leads to either being institutionalized or liver failure and an agonizing,  premature  death.   The  really  scary  part?   There's hardly  a  day  goes  by  when  I  don't  think  about  quitting  this business. ",2011-10-03,"Mom"
"I tried meditating on the beach today. After a few minutes of gazing out at the ocean these words floated up into my consciousness, ""An impersonal, life-creating vastness that is ever-changing."" The metaphor touched me deeply. It seemed as if time stopped, or at least was on hold. A feeling of peace came upon me, or more accurately, from within me. Then a new thought wafted, ""I am alive in an impersonal universe and I can't help but take it personally."" Then another thought, ""Life is sustained by eating other life. What's up with that?"" Then one more, ""Ever-changing is just a pompous way of saying $#!% happens."" Realizing I'd strayed from my meditation, I took a deep cleansing breath and once again looked out at the ocean. That simple joy and serenity I'd felt earlier returned immediately, followed by a new thought, or rather, sensation, ""I urgently have to urinate."" I looked around and saw no facilities. Not even a tree to hide behind. Desperate for relief, I looked back to the ocean and heard these words calmly whispered in my mind, ""Impersonal also means I will never judge you.""The water was cold, but I managed.",2015-04-02,"Mom"
"Random Advice to Young Comedy WritersDon't eat a heavy lunch. It's bad luck to sit in a director's chair with your name on it. Good ideas feel good. They're almost gentle. Be suspicious of ideas you're really, really, really excited about - it might be a bipolar thing. Never stand up when pitching an idea, you're probably excited. There's no getting around it, some pants are luckier than others. Comedy written at three AM isn't as funny as you think it is. Comedy written at three PM when you're drunk isn't as funny as you think it is. Comedy written at three PM, stone cold sober, rested and well-fed might be funny. Might not. You want certainty in your profession, try accounting. If a show fails it doesn't mean you're a bad person. It just feels that way. Sleep with a retainer in your mouth to avoid grinding your teeth to dust. When the audience doesn't laugh, your soul is not being dragged out your ass. It just feels that way. With that in mind, don't be fooled by laughter that is simply an act of mercy. Mom may love you, but she is not a good barometer of your talent. With that in mind, if your mother truly loves you, you're probably not a comedy writer. Never watch someone read your script. Use this time to go to the bathroom and pass blood. Try and put the funny word at the end of the sentence. But sometimes don't. Again, Uncertainty is thy God. People who write poisonous things about your work are using up precious moments of their life dwelling on yours. These are moments they will never get back. Let that be a comfort to you. And finally, every time, without fail, your anger is really just your fear in disguise. The only reason you get angry is because you cannot tolerate fear. It's also why you have unlucky chairs and lucky pants.",2014-12-18,"Mom"
"Many, many, many, many years ago, I had a job as a greens keeper at a little par 3, nine hole golf course. Every morning I'd get up at dawn and drive the tractor-mower up and down the fairways. Then I'd roll the special lawnmower over the greens, trying my best to make them both beautiful and challenging. In my mind, I imagined I was grooming Augusta National. Thinking back I can't help but remember that time as being perfect. My heart was at peace, my work was fulfilling, and each day was a gentle echo of the one before. But I quit that job and moved to Los Angeles because I wanted more. Can you imagine that? I wanted more than a par 27 Walden Pond. Don't get me wrong, I am deeply grateful for the way things turned out. It's just, try as I might, I can't make a sitcom smell like fresh cut grass in the morning.",2015-03-05,"Mom"
"I recently found myself reminiscing about an incident that occurred almost thirty years ago. I had just landed my first job as a prime-time sitcom writer and was sitting in a room 'punching up' a script with a few other young writers and a couple of old pros, when one of the gray-haired, comedy mavens grumbled that the mediocre joke we were trying to improve was ""good enough"" and that we should ""move on."" He rationalized this by saying, ""No one will know the difference"" and, ""It's just a sitcom."" I remember being offended. I quietly promised myself that if I ever got a chance to write and produce my own series I would never think that way. I would never become so jaded and cynical that I squandered the opportunity to entertain people by assuming they ""won't know the difference,"" and by sneeringly regarding what I do for a living as being ""just a sitcom."" And I never have. But I have wondered what exactly is this thing I do. And I think I've finally figured it out. A sitcom is an extended conversation between writers, actors, directors and the audience. In success, the conversation goes on for years. Pre-internet, the viewers responded simply by watching or not watching. Now their opinions are loud, immediate and fully articulated. And it's great. And it's scary. But it's a real conversation between real people with real feelings. So we all need to choose our words carefully.",2015-02-26,"Mom"
"I start most of my vanity cards without knowing how to end them. I purposely write myself into a corner and then try to wriggle out of it. Which, I now realize, is the story of my life. Over and over, I have consciously entrapped myself in difficult situations and relationships and then struggled to get free. Which leads me to wonder, is this cycle the very essence of existence? Are we destined to live out an endless, self- imposed drama entitled ""stuck, free, stuck, free""? Or, with a bit more flourish, ""woe is me, hallelujah, woe is me, hallelujah""? And if this is the case, is life and death just one more variation on the theme? And is it the last? Does the pendulum swinging between entrapment and freedom continue beyond the grave? (Perhaps on a quantum level?) Which poses a new question. If we exist in an eternal loop of suffering and escape, why bother escaping? Why not just embrace the prison we're in? The answer, of course, is that surrender is its own form of freedom. Which is why I've given up on writing my way out of this vanity card. I intend to remain here, happily trapped in a weak premise.",2015-02-12,"Mom"
"I've recently restarted my meditation practice.I figure this is the best way for me to achieve some level ofequanimity in the midst of TV.I understand that the purpose of meditation is not to ""clear themind.""The purpose is to simply become aware of it without judgment.Thoughts come and go like clouds moving across an open sky.The nature of the mind is to create clouds.The nature of the self is the sky.When viewed this way it's easy to look past the illusion ofseparateness and see how we are one.After all, how many skies are there?Resting in this awareness brings peace.Then a cloud called ""the Nielsen ratings"" floats by.Then one called ""Why are my hips slowly migrating up toward myarmpits?""Then one called ""Is my dog going deaf or is he just ignoringme?""Then one called ""Is that a mole or melanoma?""Then... Breathe. Sky.",2015-02-05,"Mom"
"",2015-01-29,"Mom"
"Thank you",2015-01-22,"Mom"
"The things I have spent my life depending on are undependable. Because they are things. And things are, by their very nature, subject to change. This applies to people as well. People change. People leave. Inevitably we all leave. The world, therefore, is essentially an unstable, uncertain environment. That's why I choose to believe in, and depend on, an unchanging, eternal, omnipresent non-thing. I prefer not to call it God, because the very word tends to thing things up. So I try not to call it. I try to experience it. Easy to do looking out at the ocean. Hard to do looking up at the ocean. Easy to do when you look at a baby. Hard to do if the baby is next to you on a long plane flight. Easy to do when you look at a pretty girl. Hard to do if you were once married to her. Clearly what blocks me from transcendence is judgment. If I were able to suspend having an opinion on drowning, other peoples' baby's vomit, and alimony, if I could simply see these things as they are - actions devoid of meaning until I give them meaning - I could experience some semblance of union with the infinite sublime. I'd instantaneously transition from neurotic sitcom writer to one seriously badass guru dude. People would travel great distances to ask me for guidance with their personal problems. I'd wisely tell them ""It is what it is."" They'd judge this as being ridiculously inadequate advice and punch me. But I'd be okay with it because I'm, you know, exalted.",2015-01-07,"Mom"
"Random Advice to Young Comedy WritersDon't eat a heavy lunch. It's bad luck to sit in a director's chair with your name on it. Good ideas feel good. They're almost gentle. Be suspicious of ideas you're really, really, really excited about - it might be a bipolar thing. Never stand up when pitching an idea, you're probably excited. There's no getting around it, some pants are luckier than others. Comedy written at three AM isn't as funny as you think it is. Comedy written at three PM when you're drunk isn't as funny as you think it is. Comedy written at three PM, stone cold sober, rested and well-fed might be funny. Might not. You want certainty in your profession, try accounting. If a show fails it doesn't mean you're a bad person. It just feels that way. Sleep with a retainer in your mouth to avoid grinding your teeth to dust. When the audience doesn't laugh, your soul is not being dragged out your ass. It just feels that way. With that in mind, don't be fooled by laughter that is simply an act of mercy. Mom may love you, but she is not a good barometer of your talent. With that in mind, if your mother truly loves you, you're probably not a comedy writer. Never watch someone read your script. Use this time to go to the bathroom and pass blood. Try and put the funny word at the end of the sentence. But sometimes don't. Again, Uncertainty is thy God. People who write poisonous things about your work are using up precious moments of their life dwelling on yours. These are moments they will never get back. Let that be a comfort to you. And finally, every time, without fail, your anger is really just your fear in disguise. The only reason you get angry is because you cannot tolerate fear. It's also why you have unlucky chairs and lucky pants.",2014-12-18,"Mom"
"""Ah, but I was so much older then,I'm younger than that now."" - Bob Dylan",2014-12-11,"Mom"
"As I mentioned a few episodes ago, I'm no longer writing vanity cards. Going forward I plan on experimenting with different ideas to replace them. The first one can be seen following tonight's episode of Two and a Half Men. I'd very much like to get your input before I make a final decision. Perhaps we can have some sort of online vote. Of course those of you who follow the cards hoping to find something to hate are certainly welcome to continue on in that manner.",2014-12-04,"Mom"
"The other night I woke up at three in the morning with a powerful urge to, how can I say this delicately... void my bladder. Barely awake, I stumbled into the bathroom, lifted the seat, then, for reasons we can only call stupid, decided I was too sleepy to stand. So I sat down and fell into the toilet. Shocked by the ass splashdown, I leaped up, slammed my head against the door, stumbled backwards, ripped the phone off the wall - yes, I have a phone in there - then stuck the landing with one foot in the magazine basket and the other in the toilet. The next morning I considered using my nocturnal mishap in a sitcom, but decided against it because I didn't think anyone would believe it.",2014-11-27,"Mom"
"Just to be clear, I'm still not writing vanity cards.What you're reading here is more of a mission statement.A declaration of intent.A simple document drafted to avoid confusion.I believe that the only excuse for making grand pronouncements about quitting and then not following through is if you're Evander Holyfield, Brett Favre, Steven Soderbergh, Jay-Z or the Eagles.And, on a completely selfish note, by not writing any more cards, the value of my old ones goes up.Not in a financial sense.Emotionally.You know, how can I miss you if you won't go away?",2014-11-13,"Mom"
"In no particular order, I could not or would not exist without air, food, water, gravity, tides, the moon, the sun, night, civilization, the laws of physics, the laws of thermodynamics, the law of the land, ancestors having sex, DNA, viruses, bacteria, plants, animals, oceans, ice caps, the kindness of strangers, the Big Bang, familial bonds, smart people, brave people, memory, medicine, the periodic table of elements, tribal instincts, magnetic fields, weather, Earth's molten core, a rotating Earth, a tilted Earth, tectonic plates, sleep, death, heat, consciousness, evolution, teachers and the miraculous, self-regulating chemical factory that is my body. Other than that, I like to think of myself as a self-made man.Okay, that's all the pointless whimsy I have for the moment. Now unpause your DVR and watch Two and a Half Men. You can reflect on the redundancy of pointless whimsy later.",2014-11-06,"Mom"
"Hi! Welcome back to season two of Mom. I want to take this opportunity to thank you for watching. As you can probably tell from the first episode, we're trying to push the envelope a little. Sitcom families don't normally get evicted and end up living in a motel. Maybe there's a reason for that. Maybe sitcoms exist only to portray the sunny side of American life. We'll find out soon enough. If you're not back to watch next week, we'll know we should have opened the season with a story about the little boy getting in trouble at school for showing his friends embarrassing pictures of his sister, causing his mom all kinds of headaches and oh, please come back next week.",2014-10-30,"Mom"
"",2014-04-14,"Mom"
"I believe that the much argued ""sanctity of marriage"" ended in 1960 when the FDA approved the birth control pill for contraception.  In other words, the minute science allowed women to take charge of their reproductive cycle, the cultural reason for protecting marriage - ensuring the continuation of the species - collapsed. Additionally, when conception became a fundamental female choice, as opposed to a random event, thousands of years of patriarchal rule came to an end.  That is why male-dominated religions and social institutions are so filled with rage right now. They know, at least subconsciously, that the jig is up. Their tribal blood-drenched reign is over.  We are witnessing the death throes of the testosterone epoch. Unfortunately, organizations and philosophies that took thousands of years to develop might take just as long to die. Regardless, the hand-writing, probably a pretty cursive, is on the wall.  Do what you will with this information, but I'm making a donation to NOW.",2014-03-31,"Mom"
"As we struggle to wrap our minds around the frightening news from Crimea, I think we should also take a moment to consider an even more unnerving piece of information.  Mitt Romney was right.",2014-03-24,"Mom"
"I've been known to throw my hat in the ring when different high profile jobs become available (I'm easily bored and also the proud owner of a hat). A few weeks ago I dipped a toe into the race for Sheriff of Los Angeles, as well as an open seat in the U.S. Congress. Unfortunately, there was no groundswell of support for either position so I gracefully moved on. But now a real golden opportunity has emerged: President of ABC-Disney TV. Now that's a gig I could kick ass on. Mr. Iger, you and I have known each other a long time. Going back to those halcyon days on ""Roseanne"" when we'd drive to work singing the theme song from the film version of ""MASH."" (Bob knows what I mean. Everyone else can look it up - then look up ""halcyon."") You know I'll give it my all. I already have a great idea for an ABC series. A real ground-breaking dramedy. It's called ""Chastity Jones"" and tells the story of a beautiful woman who, after being burned in relationship after relationship, decides never to have sex again. And I mean never. Which of course makes her wildly attractive to men who pursue her doggedly. And I mean doggedly. Regardless, she stays true to her vow. As the series progresses, every aspect of her life improves while all her friends who are out there, ankles up, banging away, suffer endless heartache. Honestly, I think it's the kind of show that could start a trend. Heck, with a little luck a deadly new STD will arrive from Africa and we'll be ahead of the curve! Alternative title: ""The Last Orgasm."" But we have to move quick here. I'm also trying for El Chapo's old job as el presidente of the Sinaloa Cartel. I've pitched them some great ideas about tunnels, mules and product placement. How much would sales go up if we could convince a few actors and musicians to endorse drugs? Huh? Huh? Outside the box, baby!",2014-03-17,"Mom"
"A dying animal struggles, thrashes and howls in protest as its life is torn from it.  To see this in action watch Animal Planet. The same thing happens when an idea dies.  To see this in actionwatch Fox News.",2014-03-10,"Mom"
"The older I get the more I dig Sinatra... except for his cover of ""Bad, Bad Leroy Brown."" And ""Something."" And ""Yesterday."" And ""Mrs. Robinson."" Otherwise the cat was a groovy gas.",2014-03-03,"Mom"
"",2014-02-24,"Mom"
"There's mention in tonight's episode of The Professor on ""Gilligan's Island."" Shortly after the scene was filmed, we learned that the wonderful actor who'd played that character, Russell Johnson, had passed away. For that reason, I'd like to dedicate this episode to his memory.Thank you for all the laughter, Russell. Like millions of young men, I spent my youth hoping and praying that you'd sleep with Ginger or Mary Ann.",2014-02-03,"Mom"
"Not that it really matters, but the joke I made at the ProducersGuild Awards regarding Ben Affleck's genitals being of sufficient size to fill the caped crusader's codpiece was just that, a joke. I've never met Mr. Affleck in or out of a men's room. Nor am I in the habit of peeking at another guy's junk while standing at a urinal. (I mostly stare at the tiles and worry that the invisible auto-flush light beam is secretly cooking my internal organs.) I just wanted to open my speech with a cheap laugh about the Golden Globes. To be completely honest, the original version of the joke had me peeing next to and peeking at Martin Scorsese -- who was, at best, a grower not a show-er. I cut it, wisely I thought, because it felt unfair to ""belittle"" a giant of cinema, even if I had issues with ""Hugo."" I then considered telling the same joke with Harvey Weinstein as the celebrity at the neighboring stall, but cut that as well because I worried that he might be able to have me hurt. It was only when I thought of Mr. Affleck that it finally hit me. If I'm going to make up stuff about another man's penis, why not go positive? Embellish his endowment if you will. It's still funny. And it also allowed me to work in the Comic-Con Batman angle. Win-win right? Wrong. While the joke did score at the PGA event, it got way too much traction afterward. Which is why I now feel the need to set the record straight. You want to know if Affleck is man enough to be Bruce Wayne? Ask his wife. Or, if you're feeling man enough, rent ""Daredevil."" On Blu-ray.",2014-01-27,"Mom"
"I had a recurring dream as a child that left an indelible mark on me. Unlike my other dreams, this one had no recognizable images, no mommies or daddies, no friends, relatives, teachers, scary monsters or scrappy Yankee shortstop Tony Kubek.  This dream was simply a field of darkness and light fighting to dominate my mental screen. That was it.  For what seemed like long periods of time, I would bear silent witness to a cosmic struggle between malicious, inky blackness and radiant, life-affirming light.  I would, of course, be pulling for the light to win.  But it never did.  No matter how much I willed it, light could never maintain the field of view.  Darkness would always come crawling back, invading the space and ultimately taking over.  It was both exhausting and upsetting.  Thankfully, at some point during early adolescence, the dream stopped, never to return.  Looking back, I see it as no more than an immature mind's attempt to reconcile good and evil.  I understand now that the world is not nearly that simple.  Those two opposing forces do not actually exist. They are evaluations. Opinions.  And yet, my mind continually tries to manifest them as being real.  I catch myself doing it whenever I toggle back and forth between MSNBC and Fox News playing out their cable TV version of my childhood dream.  The only difference is that I'm an adult now. I understand that Roger Ailes thinks he's on the side of the light.",2014-01-20,"Mom"
"1.2.3.4.5.6.7.8.9.10.",2014-01-09,"Mom"
"In the past, this is where I'd normally post my silly holiday greeting vanity card.  Not this year.  No, this year I have achieved a state of exhaustion that I've never known before.  This year I have managed to completely burn myself out.  The phrase ""words fail me"" has suddenly become deeply and frighteningly meaningful. If the part of the dying Tinker Bell in Peter Pan was played by a middle-aged, Jewish sitcom writer, you'd have an accurate picture of where I'm at right now.  My light is dimming. I am a husk.  A husk of a hack.  There's nothing left to say. Farewell.  Tell my children I love them.Dammit. I just remembered I have to stick around 'til January. I'm really curious to see if ""The Big Bang Theory"" wins a Golden Globe. I already know about the People's Choice.",2013-12-16,"Mom"
"I've been told that the act of forgiveness frees the person doing the forgiving from harboring dark, and ultimately self-destructive, emotions. While there is no guarantee that the transgressor will be relieved of shame and guilt, the forgiver will always feel better. In other words, forgiveness is, first and foremost, self-serving. Now I am all about self-serving, so for the last few years I have been practicing a sort of forgiveness mantra. Upon awakening and before retiring, I visualize those who have harmed me and imagine myself flowing love and compassion toward them. Additionally, I wish for them to have everything they could possibly want. I'm happy to report that it's working. Slowly, over time, anger has become resentment has become indifference has become amusement has become affection. And now I'm free and my heart is full. You believe me?Do I believe me?",2013-12-02,"Mom"
"I'm concerned that the infrared beam which triggers public toilets to flush might cause cancer.I'm considering getting a Twitter account so I can have a way to express my innermost thoughts to strangers.I'm confused as to why a poorly designed web site means affordable health care is a bad idea.I'm thinking of writing a children's story about a leaf on atree who arrogantly insists he's a self-made, independent leaf. Then one day a fierce wind blows him off his branch and to the ground below. As his life slowly ebbs away, he looks up at the magnificent old tree that had been his home and realizes that he had never been on his own. His entire life he had been part of something bigger and more beautiful than anything he could have imagined. In a blinding flash, he awakens from the delusion of self. Then an arrogant, self-centered kid rakes him up and bags him.I'm wondering if maybe I should stop writing these freakin' vanity cards.",2013-11-21,"Mom"
"",2012-11-15,"Mom"
"",2013-11-11,"Mom"
"Dear Guys Working on the 405 Freeway,Sincerely, Chuck Lorre",2013-11-04,"Mom"
